key,0,1,2,3,4,5,6,7
#,Item,CollectablesShopItemGroup,LevelMin,LevelMax,,,CollectablesShopRefine,CollectablesShopRewardScrip
int32,Item,CollectablesShopItemGroup,uint16,uint16,byte,byte,CollectablesShopRefine,CollectablesShopRewardScrip
0.0,"","",0,0,0,0,"CollectablesShopRefine#0",""
1.0,"Oddly Specific Cedar Lumber","Oddly Specific Materials Exchange (Carpentry)",80,80,2,3,"CollectablesShopRefine#102","Yellow Crafters' Scrip"
1.1,"Oddly Specific Cedar Plank","Oddly Specific Materials Exchange (Carpentry)",80,80,3,3,"CollectablesShopRefine#103","Yellow Gatherers' Scrip"
2.0,"Oddly Specific Iron Nails","Oddly Specific Materials Exchange (Blacksmithing)",80,80,2,3,"CollectablesShopRefine#102","Yellow Gatherers' Scrip"
2.1,"Oddly Specific Iron Ingot","Oddly Specific Materials Exchange (Blacksmithing)",80,80,3,3,"CollectablesShopRefine#103","Yellow Gatherers' Scrip"
3.0,"Oddly Specific Mythril Rings","Oddly Specific Materials Exchange (Armoring)",80,80,2,3,"CollectablesShopRefine#102","Yellow Gatherers' Scrip"
3.1,"Oddly Specific Mythril Plate","Oddly Specific Materials Exchange (Armoring)",80,80,3,3,"CollectablesShopRefine#103","Yellow Gatherers' Scrip"
4.0,"Oddly Specific Silver Nugget","Oddly Specific Materials Exchange (Goldsmithing)",80,80,2,3,"CollectablesShopRefine#102","Yellow Gatherers' Scrip"
4.1,"Oddly Specific Silver Ingot","Oddly Specific Materials Exchange (Goldsmithing)",80,80,3,3,"CollectablesShopRefine#103","Yellow Gatherers' Scrip"
5.0,"Oddly Specific Gaganaskin Strap","Oddly Specific Materials Exchange (Leatherworking)",80,80,2,3,"CollectablesShopRefine#102","Yellow Gatherers' Scrip"
5.1,"Oddly Specific Gagana Leather","Oddly Specific Materials Exchange (Leatherworking)",80,80,3,3,"CollectablesShopRefine#103","Yellow Gatherers' Scrip"
6.0,"Oddly Specific Cloth","Oddly Specific Materials Exchange (Clothcrafting)",80,80,2,3,"CollectablesShopRefine#102","Yellow Gatherers' Scrip"
6.1,"Oddly Specific Undyed Woolen Cloth","Oddly Specific Materials Exchange (Clothcrafting)",80,80,3,3,"CollectablesShopRefine#103","Yellow Gatherers' Scrip"
7.0,"Oddly Specific Glue","Oddly Specific Materials Exchange (Alchemy)",80,80,2,3,"CollectablesShopRefine#102","Yellow Gatherers' Scrip"
7.1,"Oddly Specific Rubber","Oddly Specific Materials Exchange (Alchemy)",80,80,3,3,"CollectablesShopRefine#103","Yellow Gatherers' Scrip"
8.0,"Oddly Specific Oil","Oddly Specific Materials Exchange (Cooking)",80,80,2,3,"CollectablesShopRefine#102","Yellow Gatherers' Scrip"
8.1,"Oddly Specific Paste","Oddly Specific Materials Exchange (Cooking)",80,80,3,3,"CollectablesShopRefine#103","Yellow Gatherers' Scrip"
9.0,"","",0,0,0,0,"CollectablesShopRefine#0",""
9.1,"","",0,0,0,0,"CollectablesShopRefine#0",""
10.0,"","",0,0,0,0,"CollectablesShopRefine#0",""
10.1,"","",0,0,0,0,"CollectablesShopRefine#0",""
11.0,"","",0,0,0,0,"CollectablesShopRefine#0",""
11.1,"","",0,0,0,0,"CollectablesShopRefine#0",""
12.0,"Yellow Copper Ore","Lv. 50-60",50,50,3,3,"CollectablesShopRefine#26","Yellow Gatherers' Scrip"
12.1,"Dragon Obsidian","Lv. 50-60",50,50,0,3,"CollectablesShopRefine#26","Yellow Gatherers' Scrip"
12.2,"Pyrite","Lv. 50-60",51,51,0,3,"CollectablesShopRefine#26","Yellow Gatherers' Scrip"
12.3,"Yellow Quartz","Lv. 50-60",51,52,0,3,"CollectablesShopRefine#26","Yellow Gatherers' Scrip"
12.4,"Chalcocite","Lv. 50-60",53,53,0,3,"CollectablesShopRefine#32","Yellow Gatherers' Scrip"
12.5,"Limonite","Lv. 50-60",53,54,0,3,"CollectablesShopRefine#36","Yellow Gatherers' Scrip"
12.6,"Green Quartz","Lv. 50-60",53,55,0,3,"CollectablesShopRefine#36","Yellow Gatherers' Scrip"
12.7,"Fossilized Dragon Bone","Lv. 50-60",56,56,0,3,"CollectablesShopRefine#38","Yellow Gatherers' Scrip"
12.8,"Abalathian Rock Salt","Lv. 50-60",56,56,0,3,"CollectablesShopRefine#38","Yellow Gatherers' Scrip"
12.9,"Light Kidney Ore","Lv. 50-60",56,57,0,3,"CollectablesShopRefine#38","Yellow Gatherers' Scrip"
12.10,"Red Quartz","Lv. 50-60",58,58,0,3,"CollectablesShopRefine#38","Yellow Gatherers' Scrip"
12.11,"Cuprite","Lv. 50-60",58,59,0,3,"CollectablesShopRefine#38","Yellow Gatherers' Scrip"
12.12,"Tektite","Lv. 50-60",59,59,0,3,"CollectablesShopRefine#38","Yellow Gatherers' Scrip"
12.13,"Eventide Jade","Lv. 50-60",59,60,0,3,"CollectablesShopRefine#38","Yellow Gatherers' Scrip"
12.14,"Aurum Regis Ore","Lv. 50-60",60,60,1,3,"CollectablesShopRefine#38","Yellow Gatherers' Scrip"
12.15,"Lumythrite Ore","Lv. 50-60",60,60,1,3,"CollectablesShopRefine#38","Yellow Gatherers' Scrip"
12.16,"Sun Mica","Lv. 50-60",60,60,1,3,"CollectablesShopRefine#38","Yellow Gatherers' Scrip"
12.17,"Astral Moraine","Lv. 50-60",60,60,1,3,"CollectablesShopRefine#38","Yellow Gatherers' Scrip"
12.18,"Violet Quartz","Lv. 50-60",60,60,1,3,"CollectablesShopRefine#38","Yellow Gatherers' Scrip"
12.19,"Blue Quartz","Lv. 50-60",60,60,1,3,"CollectablesShopRefine#38","Yellow Gatherers' Scrip"
12.20,"Red Alumen","Lv. 50-60",60,60,1,3,"CollectablesShopRefine#38","Yellow Gatherers' Scrip"
12.21,"Smithsonite Ore","Lv. 50-60",60,60,1,3,"CollectablesShopRefine#38","Yellow Gatherers' Scrip"
12.22,"Meteorite","Lv. 50-60",60,60,1,3,"CollectablesShopRefine#38","Yellow Gatherers' Scrip"
12.23,"Gyr Abanian Alumen","Lv. 50-60",60,60,2,3,"CollectablesShopRefine#38","Yellow Gatherers' Scrip"
12.24,"Raw Triphane","Lv. 50-60",60,60,2,3,"CollectablesShopRefine#38","Yellow Gatherers' Scrip"
12.25,"Adamantite Ore","Lv. 50-60",60,60,0,3,"CollectablesShopRefine#38","Yellow Gatherers' Scrip"
12.26,"Gyr Abanian Mineral Water","Lv. 61-70",61,61,0,3,"CollectablesShopRefine#38","Yellow Gatherers' Scrip"
12.27,"Koppranickel Ore","Lv. 61-70",61,63,0,3,"CollectablesShopRefine#38","Yellow Gatherers' Scrip"
12.28,"Raw Star Spinel","Lv. 61-70",61,63,0,3,"CollectablesShopRefine#38","Yellow Gatherers' Scrip"
12.29,"Durium Sand","Lv. 61-70",66,66,0,3,"CollectablesShopRefine#38","Yellow Gatherers' Scrip"
12.30,"Raw Azurite","Lv. 61-70",66,66,0,3,"CollectablesShopRefine#38","Yellow Gatherers' Scrip"
12.31,"Durium Ore","Lv. 61-70",66,68,0,3,"CollectablesShopRefine#38","Yellow Gatherers' Scrip"
12.32,"Raw Imperial Jade","Lv. 61-70",70,68,0,3,"CollectablesShopRefine#41","Yellow Gatherers' Scrip"
12.33,"Chromite Ore","Lv. 61-70",70,70,1,3,"CollectablesShopRefine#41","Yellow Gatherers' Scrip"
12.34,"Palladium Ore","Lv. 61-70",70,70,1,3,"CollectablesShopRefine#41","Yellow Gatherers' Scrip"
12.35,"Yellow Alumen","Lv. 61-70",70,70,2,3,"CollectablesShopRefine#38","Yellow Gatherers' Scrip"
12.36,"Raw Hematite","Lv. 61-70",70,70,2,3,"CollectablesShopRefine#38","Yellow Gatherers' Scrip"
12.37,"Molybdenum Ore","Lv. 61-70",70,70,0,3,"CollectablesShopRefine#41","Yellow Gatherers' Scrip"
12.38,"Raw Rhodonite","Lv. 61-70",70,70,0,3,"CollectablesShopRefine#41","Yellow Gatherers' Scrip"
12.39,"Raw Diaspore","Lv. 71-80",71,72,0,3,"CollectablesShopRefine#38","Yellow Gatherers' Scrip"
12.40,"Highland Spring Water","Lv. 71-80",71,73,0,3,"CollectablesShopRefine#38","Yellow Gatherers' Scrip"
12.41,"Extra Effervescent Water","Lv. 71-80",76,76,0,3,"CollectablesShopRefine#38","Yellow Gatherers' Scrip"
12.42,"Raw Triplite","Lv. 71-80",76,76,0,3,"CollectablesShopRefine#38","Yellow Gatherers' Scrip"
