key,0,1,2,3,4,5,6
#,Currency,LowReward,MidReward,HighReward,ExpRatioLow,ExpRatioMid,ExpRatioHigh
int32,Currency,uint16,uint16,uint16,uint16,uint16,uint16
0,"",0,0,0,0,0,0
1,"Yellow Crafters' Scrip",5,10,15,100,120,150
2,"Yellow Gatherers' Scrip",5,5,6,56,64,72
3,"Yellow Gatherers' Scrip",8,8,9,45,51,58
4,"Yellow Gatherers' Scrip",8,8,10,44,50,57
5,"Yellow Gatherers' Scrip",8,8,10,42,48,54
6,"Yellow Gatherers' Scrip",8,8,9,300,330,360
7,"Yellow Gatherers' Scrip",9,9,10,44,50,57
8,"Yellow Gatherers' Scrip",9,9,11,42,48,54
9,"Yellow Gatherers' Scrip",9,9,11,40,46,52
10,"Yellow Gatherers' Scrip",9,9,10,300,330,360
11,"Yellow Gatherers' Scrip",10,11,12,44,50,57
12,"Yellow Gatherers' Scrip",10,11,12,300,330,360
13,"Yellow Gatherers' Scrip",10,19,36,120,150,180
14,"Yellow Gatherers' Scrip",10,11,13,32,36,41
15,"Yellow Gatherers' Scrip",10,20,38,120,150,180
16,"Yellow Gatherers' Scrip",12,13,14,300,345,390
17,"Yellow Gatherers' Scrip",12,13,15,290,333,377
18,"Yellow Gatherers' Scrip",12,13,14,300,330,360
19,"Yellow Gatherers' Scrip",12,13,14,275,302,330
20,"Yellow Gatherers' Scrip",12,13,14,250,275,300
21,"Yellow Gatherers' Scrip",12,13,14,225,247,270
22,"Yellow Gatherers' Scrip",12,13,14,200,220,240
23,"Yellow Gatherers' Scrip",12,13,14,32,36,41
24,"Yellow Gatherers' Scrip",13,14,15,300,345,390
25,"Yellow Gatherers' Scrip",13,14,16,260,299,338
26,"Yellow Gatherers' Scrip",13,14,15,30,34,39
27,"Yellow Gatherers' Scrip",14,15,16,300,345,390
28,"Yellow Gatherers' Scrip",14,15,16,30,34,39
29,"Yellow Gatherers' Scrip",15,16,18,30,34,39
30,"Yellow Gatherers' Scrip",18,36,68,120,150,180
31,"Yellow Gatherers' Scrip",20,22,24,300,345,390
32,"Yellow Gatherers' Scrip",20,23,26,220,253,286
33,"Yellow Gatherers' Scrip",20,40,76,120,150,180
34,"Yellow Gatherers' Scrip",22,24,26,300,345,390
35,"Yellow Gatherers' Scrip",22,24,26,300,330,360
36,"Yellow Gatherers' Scrip",22,25,28,180,207,234
37,"Yellow Gatherers' Scrip",22,44,83,120,150,180
38,"Yellow Gatherers' Scrip",23,25,27,290,333,377
39,"Yellow Gatherers' Scrip",23,26,29,175,201,227
40,"Yellow Gatherers' Scrip",25,27,32,175,201,227
41,"Yellow Gatherers' Scrip",33,36,39,300,330,360
42,"Yellow Gatherers' Scrip",33,36,39,200,220,240
43,"Yellow Gatherers' Scrip",34,37,40,200,220,240
44,"Yellow Gatherers' Scrip",35,38,45,175,201,227
45,"Yellow Gatherers' Scrip",35,38,42,200,220,240
46,"Yellow Gatherers' Scrip",36,39,43,200,220,240
47,"Yellow Gatherers' Scrip",38,41,45,200,220,240
48,"Yellow Gatherers' Scrip",40,44,52,175,201,227
49,"Yellow Gatherers' Scrip",83,91,99,200,220,240
50,"Yellow Gatherers' Scrip",200,220,240,300,330,360
51,"Yellow Gatherers' Scrip",220,242,264,200,220,240
52,"Yellow Gatherers' Scrip",680,748,816,200,220,240
53,"White Gatherers' Scrip",10,11,12,29,33,37
54,"White Gatherers' Scrip",18,36,68,120,150,180
55,"White Gatherers' Scrip",23,26,29,175,201,227
56,"White Gatherers' Scrip",25,28,32,175,201,227
57,"White Gatherers' Scrip",25,27,30,200,220,240
58,"White Gatherers' Scrip",30,34,39,175,201,227
59,"White Gatherers' Scrip",32,35,38,200,220,240
60,"White Gatherers' Scrip",42,46,50,200,220,240
61,"White Gatherers' Scrip",48,52,57,200,220,240
62,"White Gatherers' Scrip",74,81,88,200,220,240
63,"White Gatherers' Scrip",314,345,376,200,220,240
64,"White Gatherers' Scrip",416,457,499,200,220,240
65,"White Gatherers' Scrip",1383,1521,1659,200,220,240
66,"Yellow Crafters' Scrip",2,2,2,173,190,207
67,"Yellow Crafters' Scrip",2,2,2,250,275,300
68,"Yellow Crafters' Scrip",2,2,2,322,354,386
69,"Yellow Crafters' Scrip",3,3,3,235,258,282
70,"Yellow Crafters' Scrip",3,3,3,353,388,423
71,"Yellow Crafters' Scrip",4,4,4,188,206,225
72,"Yellow Crafters' Scrip",4,4,4,197,216,236
73,"Yellow Crafters' Scrip",4,4,4,599,658,718
74,"Yellow Crafters' Scrip",5,5,6,299,328,358
75,"Yellow Crafters' Scrip",5,5,6,316,347,379
76,"Yellow Crafters' Scrip",5,5,6,346,380,415
77,"Yellow Crafters' Scrip",5,5,6,353,388,423
78,"Yellow Crafters' Scrip",5,5,6,455,500,546
79,"Yellow Crafters' Scrip",6,6,7,158,173,189
80,"Yellow Crafters' Scrip",6,6,7,233,256,279
81,"Yellow Crafters' Scrip",6,6,7,477,524,572
82,"Yellow Crafters' Scrip",6,6,7,479,526,574
83,"Yellow Crafters' Scrip",6,6,7,526,578,631
84,"Yellow Crafters' Scrip",6,6,7,537,590,644
85,"Yellow Crafters' Scrip",6,6,7,557,612,668
86,"Yellow Crafters' Scrip",7,7,8,406,446,487
87,"Yellow Crafters' Scrip",7,7,8,455,500,546
88,"Yellow Crafters' Scrip",7,7,8,557,612,668
89,"Yellow Crafters' Scrip",8,8,9,188,206,225
90,"Yellow Crafters' Scrip",8,8,9,230,253,276
91,"Yellow Crafters' Scrip",8,8,9,286,314,343
92,"Yellow Crafters' Scrip",8,8,9,455,500,546
93,"Yellow Crafters' Scrip",8,8,9,541,595,649
94,"Yellow Crafters' Scrip",8,8,9,557,612,668
95,"Yellow Crafters' Scrip",9,9,10,104,114,124
96,"Yellow Crafters' Scrip",9,9,10,141,155,169
97,"Yellow Crafters' Scrip",9,9,10,353,388,423
98,"Yellow Crafters' Scrip",9,9,10,465,511,558
99,"Yellow Crafters' Scrip",9,9,10,557,612,668
100,"Yellow Crafters' Scrip",10,11,12,222,244,266
101,"Yellow Crafters' Scrip",10,11,12,323,355,387
102,"Yellow Crafters' Scrip",10,11,12,455,500,546
103,"Yellow Crafters' Scrip",10,11,12,679,746,814
104,"Yellow Crafters' Scrip",10,11,12,92,101,110
105,"Yellow Crafters' Scrip",11,12,13,283,311,339
106,"Yellow Crafters' Scrip",11,12,13,417,458,500
107,"Yellow Crafters' Scrip",11,12,13,455,500,546
108,"Yellow Crafters' Scrip",11,12,13,557,612,668
109,"Yellow Crafters' Scrip",11,12,13,762,838,914
110,"Yellow Crafters' Scrip",12,13,14,184,202,220
111,"Yellow Crafters' Scrip",12,13,14,417,458,500
112,"Yellow Crafters' Scrip",12,13,14,762,838,914
113,"Yellow Crafters' Scrip",13,14,15,168,184,201
114,"Yellow Crafters' Scrip",13,14,15,225,247,270
115,"Yellow Crafters' Scrip",13,14,15,455,500,546
116,"Yellow Crafters' Scrip",13,14,15,462,508,554
117,"Yellow Crafters' Scrip",13,14,15,762,838,914
118,"Yellow Crafters' Scrip",14,15,16,143,157,171
119,"Yellow Crafters' Scrip",14,15,16,181,199,217
120,"Yellow Crafters' Scrip",14,15,16,197,216,236
121,"Yellow Crafters' Scrip",14,15,16,239,262,286
122,"Yellow Crafters' Scrip",14,15,16,323,355,387
123,"Yellow Crafters' Scrip",14,15,16,417,458,500
124,"Yellow Crafters' Scrip",14,15,16,451,496,541
125,"Yellow Crafters' Scrip",14,15,16,511,562,613
126,"Yellow Crafters' Scrip",15,16,18,197,216,236
127,"Yellow Crafters' Scrip",15,16,18,323,355,387
128,"Yellow Crafters' Scrip",15,16,18,511,562,613
129,"Yellow Crafters' Scrip",15,16,18,557,612,668
130,"Yellow Crafters' Scrip",15,16,18,660,726,792
131,"Yellow Crafters' Scrip",15,16,18,762,838,914
132,"Yellow Crafters' Scrip",15,16,18,864,950,1036
133,"Yellow Crafters' Scrip",16,17,19,230,253,276
134,"Yellow Crafters' Scrip",16,17,19,417,458,500
135,"Yellow Crafters' Scrip",16,17,19,511,562,613
136,"Yellow Crafters' Scrip",17,18,20,1000,1100,1200
137,"Yellow Crafters' Scrip",17,18,20,179,196,214
138,"Yellow Crafters' Scrip",17,18,20,185,203,222
